transponder_id,name,mod_type,mod_subtype,mod_bitrate,uplink,downlink,description,satellite_number,created_at,updated_at
11,HRPT,HRPT,Other,4200000,0.00000,1704.50000,High Resolution Picture Transmission running at 1704.5MHz,37214,2016-01-17 17:01:25.451878-02,2016-01-17 17:01:25.451878-02
9,HRPT,HRPT,Other,4200000,0.00000,1704.50000,High Resolution Picture Transmission running at 1704.5MHz,32958,2016-01-17 16:59:37.819544-02,2016-01-17 16:59:37.819544-02
8,HRPT,HRPT,Other,4200000,0.00000,1701.40000,High Resolution Picture Transmission running at 1701.4MHz,39260,2016-01-17 16:57:22.9406-02,2016-01-17 16:57:22.9406-02
5,APT,APT,Other,0,0.00000,137.10000,Automatic Picture Transmission running at 137.1MHz,33591,2016-01-17 16:52:41.270565-02,2016-01-17 16:52:41.270565-02
3,APT,APT,Other,0,0.00000,137.91250,Automatic Picture Transmission running at 137.9125MHz,28654,2016-01-17 16:51:13.300892-02,2016-01-17 16:51:13.300892-02
1,APT,APT,Other,0,0.00000,137.50000,Automatic Picture Transmission running at 137.5MHz,25338,2016-01-17 16:45:27.491102-02,2016-01-17 16:45:27.491102-02
2,HRPT,HRPT,Other,665000,0.00000,1702.50000,High Resolution Picture Transmission running at 1702.5MHz,25338,2016-01-17 16:46:57.737182-02,2016-01-17 16:46:57.737182-02
4,HRPT,HRPT,Other,665000,0.00000,1707.00000,High Resolution Picture Transmission running at 1707MHz,28654,2016-01-17 16:51:46.156685-02,2016-01-17 16:51:46.156685-02
6,HRPT,HRPT,Other,665000,0.00000,1698.00000,High Resolution Picture Transmission running at 1698MHz,33591,2016-01-17 16:53:15.471747-02,2016-01-17 16:53:15.471747-02
16,Mode V/U  FM Voice,FM,Voice,0,145.80000,437.80000,FM Voice Communication ,25544,2016-01-17 17:13:54.139769-02,2016-01-17 17:13:54.139769-02
17,Mode V APRS,FM,APRS,1200,145.82500,145.82500,APRS 1200bps Radio,25544,2016-01-17 17:15:16.482744-02,2016-01-17 17:15:16.482744-02
13,Mode V/V AFSK Packet,AFSK,Packet,1200,145.99000,145.80000,AX.25 1200bps Radio,25544,2016-01-17 17:11:26.759072-02,2016-01-17 17:11:26.759072-02
18,SSTV Imaging,FM,SSTV,0,0.00000,145.80000,Imaging SSTV Transmission,25544,2016-01-17 17:16:26.343866-02,2016-01-17 17:16:26.343866-02
19,Mode U/V FM Voice,FM,Voice,0,437.80000,145.80000,FM Voice Communication,25544,2016-01-17 17:17:04.437212-02,2016-01-17 17:17:04.437212-02
23,Mode V/V FM Voice (crew R1),FM,Voice,0,145.20000,145.80000,FM Voice Communication,25544,2016-01-17 17:18:40.997437-02,2016-01-17 17:18:40.997437-02
22,Mode V/V FM Voice (crew R2+3),FM,Voice,0,144.49000,145.80000,FM Voice Communication,25544,2016-01-17 17:18:05.396622-02,2016-01-17 17:18:05.396622-02
24,HRPT,HRPT,Other,3500000,0.00000,1701.30000,High Resolution Picture Transmission running at 1701.3MHz,29499,2016-01-17 17:25:55.639218-02,2016-01-17 17:25:55.639218-02
25,HRPT,HRPT,Other,3500000,0.00000,1701.30000,High Resolution Picture Transmission running at 1701.3MHz,38771,2016-01-17 17:27:44.936199-02,2016-01-17 17:27:44.936199-02
26,LRPT,LRPT,Other,80000,0.00000,137.10000,Low Resolution Picture Transmission running at 137.1MHz,35865,2016-01-17 17:33:48.463577-02,2016-01-17 17:33:48.463577-02
27,HRPT,HRPT,Other,3000000,0.00000,1700.00000,High Resolution Picture Transmission running at 1700MHz,35865,2016-01-17 17:38:14.863266-02,2016-01-17 17:38:14.863266-02
28,LRPT,LRPT,Other,80000,0.00000,137.10000,Low Resolution Picture Transmission running at 137.1MHz,40069,2016-01-17 17:39:48.719639-02,2016-01-17 17:39:48.719639-02
29,HRPT,HRPT,Other,3000000,0.00000,1700.00000,High Resolution Picture Transmission running at 1700MHz,40069,2016-01-17 17:40:17.777365-02,2016-01-17 17:40:17.777365-02
